id,title,title_general,definition,contributor,timestamps
224,Now we’re cooking with gas,Now (one's) cooking (with gas),Now one is making progress or doing something right. ,,2023-07-14 01:37:00
225,Not on the same page,,,,2023-07-14 01:38:00
322,Dumpster fire,Dumpster fire,"A complete and utter disaster or a completely chaotic situation, likened to a fire in a dumpster, which quickly becomes uncontrollable. The phrase can be applied to both situations and people. ",,2023-07-16 00:00:22
535,Bigger fish to fry,Bigger fish to fry,More important matters to deal with. ,Miles,2023-07-19 00:00:55
217,Jerking your chain,Jerk (one's) chain,"To tease someone, often by trying to convince them of something untrue. ",,2023-07-14 01:30:00
226,Stop and smell the roses,Stop and smell the roses,"To take time to enjoy the finer or more enjoyable aspects of life, especially when one has become overworked or overly stressed. ",,2023-07-14 01:39:00
227,Slippery slope,Slippery slope,"A situation in which some behavior or action will eventually lead to a worse form of the same behavior or action, or a disastrous outcome. ",,2023-07-14 01:40:00
228,Pick your battles,Pick (one's) battle(s),"To choose not to participate in minor, unimportant, or overly difficult arguments, contests, or confrontations, saving one''s strength instead for those that will be of greater importance or where one has a greater chance of success. ",,2023-07-14 01:41:00
229,On my last leg,On (one's) last legs,Near physical collapse or death. ,,2023-07-14 01:42:00
230,Watch a pot it never boils,,,Eve,2023-07-14 01:43:00
231,The tip of the iceberg,Just the tip of the iceberg,"Only a small, often unrepresentative portion of something much larger or more complex that cannot yet be seen or understood. ",Miles,2023-07-14 01:44:00
232,Needle in a haystack,Needle in a haystack,Something that is very difficult to locate. ,Eve,2023-07-14 01:45:00
233,Still waters run deep,Still waters run deep,"Quiet people have interesting, profound, or complex thoughts. ",Eve,2023-07-14 01:46:00
234,An elephant never forgets,An elephant never forgets,One remembers everything. A play on the idea that elephants have great memories. ,Eve,2023-07-14 01:47:00
235,Trojan horse,Trojan horse,Something that initially seems innocuous but is ultimately bad or malicious. A reference to the myth in which Ancient Greek soldiers hid inside a giant wooden horse in order to gain access to the city of Troy. ,Eve,2023-07-14 01:48:00
236,Like a fish in water,,,Eve,2023-07-14 01:49:00
237,Where there’s smoke there’s fire,"Where there''s smoke, there''s fire","When there is some indication of a problem or wrongdoing, such a thing probably occurred or exists. ",Eve,2023-07-14 01:50:00
238,Shot in the dark,A shot in the dark,A guess or estimate with very little or no assurance as to its accuracy. ,Eve,2023-07-14 01:51:00
239,If you can’t beat ‘em join em,,,Eve,2023-07-14 01:52:00
240,Low hanging fruit,Low-hanging fruit,That which is especially easy to obtain or achieve. Often implies something that is perhaps not as satisfying as that which takes more effort or skill to obtain or do. ,Miles,2023-07-14 01:53:00
323,The front lines,,,,2023-07-16 00:00:23
324,Don’t cry over spilt milk,,,,2023-07-16 00:00:24
325,Meat shield,,,Miles,2023-07-16 00:00:25
326,Throw up a white flag,,,,2023-07-16 00:00:26
327,Throw down the gauntlet,Throw down the gauntlet,"To issue a challenge or invitation, as to a fight, argument, or competition. ",,2023-07-16 00:00:27
328,Getting your foot in the door,Get a/(one's) foot in the door,To have a chance to do something that could lead to further opportunities. The phrase is often used to refer to employment. ,,2023-07-16 00:00:28
329,One foot out the door,One foot out the door,A lack of commitment to or eagerness to give up on someone or something. ,,2023-07-16 00:00:29
330,Dip your toe in,Dip (one's) toe in(to) (something),To tentatively begin or get involved in a new experience. Likened to gently placing one's toe into water to test its temperature. ,,2023-07-16 00:00:30
331,Test the waters,Test the water(s),"To informally or casually attempt to gauge the reaction of a potential audience or recipient of something, or to try to get an idea of what something will be like before actually doing it. Likened to feeling the temperature of water before getting in. ",,2023-07-16 00:00:31
332,Play the field,Play the field,To bet on all horses in a race other than the one favored to win. ,,2023-07-16 00:00:32
333,Play ball,Play ball,"In baseball, a phrase traditionally said or shouted by the umpire to start the game. ",,2023-07-16 00:00:33
334,Throw it at the wall and see what sticks,,,,2023-07-16 00:00:34
335,Watch a pot it never boils,,,,2023-07-16 00:00:35
336,That’s all she wrote,That's all she wrote,This is the end; there is nothing left to say. ,,2023-07-16 00:00:36
337,Head too big to fit in the door,,,,2023-07-16 00:00:37
338,Kick the can down the road,Kick the can down the road,"Especially in politics, to postpone or defer a definitive action, decision, or solution, usually by effecting a short-term one instead. ",Miles,2023-07-16 00:00:38
339,Stepping on toes,Step,"Used with the prepositions '"in'" or '"out of.'"",,2023-07-16 00:00:39
340,Reading the writing in the wall,,,,2023-07-16 00:00:40
341,Coming out of the woodwork,Come out of the woodwork,"To appear unexpectedly, or from unexpected places. ",,2023-07-16 00:00:41
342,If walls could talk,Background,"First, in January 2000, there were rumors that '"If Walls Could Talk'" would be Dion''s next single in the United Kingdom. But two months later, Sony Music UK released '"",,2023-07-16 00:00:42
343,Fly on the wall,Fly on the wall,One who is able to observe something closely but invisibly and without interfering in the situation. ,,2023-07-16 00:00:43
344,The walls have ears,The walls have ears,Someone might be eavesdropping. ,,2023-07-16 00:00:44
345,Blow this popsicle stand,Blow this popsicle stand,"To leave a place, especially one that has become dull or of no use or interest, generally in search of something better. Often preceded by '"let''s.'" ",Miles,2023-07-16 00:00:45
346,Till the wheels fall off,The wheels fall off,Things go disastrously wrong; a situation devolves into ruin or chaos. ,,2023-07-16 00:00:46
347,Hot on your tail,,,,2023-07-16 00:00:47
348,Bone to pick,A bone to pick,An issue to discuss—typically one that is a source of annoyance for the speaker. ,,2023-07-16 00:00:48
349,Put out to pasture,Put (someone or something) out to pasture,"Literally, to retire an animal from working by allowing it roam in a field or pasture. ",,2023-07-16 00:00:49
350,Ball and chain,Ball and chain,"Something, usually a responsibility of some kind, that restricts one''s freedom or limits one''s possibilities for personal pursuits. ",,2023-07-16 00:00:50
351,Down in the dumps,Down in the dumps,Sad or depressed. ,,2023-07-16 00:00:51
352,Don’t let the bed bugs bite,Don't let the bedbugs bite,"Sleep soundly and well. Part of the sing-song rhyme '"good night, sleep tight, don''t let the bedbugs bite,'" usually said to a child. ",,2023-07-16 00:00:52
353,Smoke and mirrors,Smoke and mirrors,"Trickery, deception, or misdirection. ",,2023-07-16 00:00:53
354,Running circles around someone,Run circles around (someone or something),To move much faster than someone or something. ,,2023-07-16 00:00:54
355,Picking up slack,,,,2023-07-16 00:00:55
265,Playing with fire,Play with fire,"To do something that risks causing one harm, damage, or misfortune; to do something dangerous. ",,2023-07-15 00:00:24
267,Perfect storm,Perfect storm,"A chance or rare combination of individual elements, circumstances, or events that together form a disastrous, catastrophic, or extremely unpleasant problem or difficulty. ",Eve,2023-07-15 00:00:26
268,Cut corners,Cut corners,"To skip certain steps in order to do something as easily or cheaply as possible, usually to the detriment of the finished product or end result. ",Miles,2023-07-15 00:00:27
269,Tall drink of water,Tall drink of water,"A tall, typically slender person. ",Eve,2023-07-15 00:00:28
270,The road less traveled,The road less traveled,"The less popular or common option. The phrase is typically associated with Robert Frost''s 1916 poem '"The Road Not Taken.'" ",Miles,2023-07-15 00:00:29
271,A square peg in a round hole,A square peg in a round hole,"A person who does not fit in or is not comfortable with others or in a particular situation; someone who is unsuited to a certain task, position, situation, or group of people. ",Miles,2023-07-15 00:00:30
272,Bouncing off the walls,Be bouncing off the walls,To be very active and energetic to the point of hyperactivity. ,Miles,2023-07-15 00:00:31
273,Tie a pork chop around it neck to get the dog to play with it,,,Kieth,2023-07-15 00:00:32
274,Color me pink,,,Miles,2023-07-15 00:00:33
275,Like lemmings to the sea,,,Miles,2023-07-15 00:00:34
276,A scholar and a gentleman,A scholar and a gentleman,"Someone (usually a male, due to the gender implication of '"gentleman'") who is admirable or of high esteem. Although used sincerely as a compliment, it is generally bombastic and lighthearted in nature. ",Miles,2023-07-15 00:00:35
277,Gone with the wind,Gone with the wind,"A phrase used to describe something that has disappeared, passed, or vanished, permanently or completely. The phrase was popularized by Margaret Mitchell''s 1936 novel of the same name. ",Miles,2023-07-15 00:00:36
278,Old hat,Old hat,"Unoriginal, out of date, or old-fashioned. ",Eve,2023-07-15 00:00:37
279,Doesn’t fit the mold,,,Miles,2023-07-15 00:00:38
280,Left a bad taste in your mouth,Leave a bad taste in (one's) mouth,To give one a negative impression (based on something that has already happened). ,,2023-07-15 00:00:39
281,Cold shoulder,Cold shoulder,,Miles,2023-07-15 00:00:40
282,Tongue in cheek,(with) tongue in cheek,"Humorous or intended as a joke, though seeming or appearing to be serious. Hyphenated as '"tongue-in-cheek'" if used before a noun. ",Eve,2023-07-15 00:00:41
283,When there’s a will there’s a way,,,Miles,2023-07-15 00:00:42
284,No harm no foul,"No harm, no foul","If there was no bad outcome to an action, then there''s no need to be angry or upset about it. ",Eve,2023-07-15 00:00:43
285,Cut the chord,,,Miles,2023-07-15 00:00:44
286,Hit the hay,Hit the hay,To get into bed and go to sleep. ,Miles,2023-07-15 00:00:45
287,Live by the sword die by the sword,"Live by the sword, die by the sword",Those who live a violent lifestyle will usually die a violent death. ,Miles,2023-07-15 00:00:46
288,Knocking boots,Knock boots (with one),To have sex (with one). ,Miles,2023-07-15 00:00:47
289,Bumping uglies,Bump uglies,To have sex. ,Miles,2023-07-15 00:00:48
290,Get your ears lowered,Get (one's) ears lowered,"To get a haircut, especially to a length that reveals one''s ears. ",Miles,2023-07-15 00:00:49
291,Dragging your feet,Drag (one's) feet,"Literally, to not completely pick up one''s feet when walking, so that they drag with each step. ",Miles,2023-07-15 00:00:50
292,With your tail between your legs,With (one's) tail between (one's) legs,"Displaying embarrassment or shame, especially after losing or having to admit that one was wrong. Likened to a dog literally putting its tail between its legs after being disciplined. ",Miles,2023-07-15 00:00:51
293,Spic and span,Spick and span,Totally clean and/or organized. ,Miles,2023-07-15 00:00:52
294,Roll in the hay,Roll in the hay,"A sexual encounter, often one considered casual. ",Eve,2023-07-15 00:00:53
295,Run the gamut,Run the gamut,To cover or extend across a wide and varied range. ,Miles,2023-07-15 00:00:54
296,If it was a snake it would of bit you,,,Eve,2023-07-15 00:00:55
297,If looks could kill,If looks could kill,"An expression used when someone makes an angry or unpleasant face at someone, indicating that such an expression represents hostility. ",Eve,2023-07-15 00:00:56
298,Staring daggers,,,Eve,2023-07-15 00:00:57
299,No skin off my back,Be no skin off (one's) back,"To be no cause of concern or interest to one; to pose one no difficulty, threat, or risk. ",Eve,2023-07-15 00:00:58
356,Burning the midnight oil,Burn the midnight oil,To stay up late working on a project or task. The phrase refers to the outdated practice of using an oil lamp. ,Mike,2023-07-16 00:00:56
357,Pass the torch,Pass the torch,"To transfer or bestow one''s role, position, responsibilities, etc., to someone else. ",Miles,2023-07-16 00:00:57
358,Butterflies in your stomach,Butterflies in (one's) stomach,A feeling of nervousness. ,,2023-07-16 00:00:58
359,The lady doth protest too much,The lady doth protest too much,"Used to indicate that someone (not necessarily a woman) is only denying something so fervently because the opposite is actually true. Adapted from the line '"the lady doth protest too much, methinks'" in Shakespeare''s ",Eve,2023-07-16 00:00:59
360,Not all hero’s wear capes,,,,2023-07-16 00:01:00
361,Walking on eggshells,Be walking on eggshells,To be acting with great care and consideration so as not to upset someone. ,,2023-07-16 00:01:01
362,Treading water,Tread water,To move one's feet and hands in a motion that will allow one to keep one's head above the surface of the water. ,,2023-07-16 00:01:02
363,Keeping your head above water,Keep (one's) head above water,"Literally, to hold one''s head out of the water as to avoid drowning. ",,2023-07-16 00:01:03
364,Under the table,Under the table,Secretly (often because what is being done is illegal). ,,2023-07-16 00:01:04
365,Tables have turned,,,,2023-07-16 00:01:05
366,Deep-6,Deep six,,,2023-07-16 00:01:06
367,6 feet under,,,,2023-07-16 00:01:07
368,Look on the bright side,Look on the bright side,To highlight the good in an otherwise bad situation. ,,2023-07-16 00:01:08
369,Casting a wide net,Cast a wide net,"To do something that will attract, appeal to, or include as large or diverse a group of people as possible. ",,2023-07-16 00:01:09
371,Food for thought,Food for thought,Something to consider. ,,2023-07-16 00:01:11
372,Penny pinching,Penny pincher,Someone who is extremely frugal or miserly with their money; someone who is very unwilling or reluctant to spend. ,,2023-07-16 00:01:12
373,Cream of the crop,The cream of the crop,The best of a particular group. ,,2023-07-16 00:01:13
218,The Blood of the covenant is thicker than the water of the womb,,,Eve,2023-07-14 01:31:00
698,Staying in your own lane,,,Miles,2023-08-11 00:00:07
374,Separate the wheat from the chaff,Separate the wheat from the chaff,To separate the good or valuable from that which is inferior. ,,2023-07-16 00:01:14
375,Reel it in,Reel in,"To draw someone or something toward oneself by winding in a line. A noun or pronoun can be used between '"reel'" and '"in.'" ",,2023-07-16 00:01:15
376,Right hand man,Right-hand man,One's primary or most trusted assistant. Not necessarily a man. ,,2023-07-16 00:01:16
377,No man is an island,"No man is an island(, entire of itself)",A person requires the company and support of others and society as a whole in order to thrive. The line is from John Donne's ,Eve,2023-07-16 00:01:17
378,Revenge is a dish best served cold,Revenge is a dish best served cold.,"Revenge that takes place far in the future, after the offending party has forgotten how they wronged someone, is much more satisfying. ",Eve,2023-07-16 00:01:18
379,Opportunity is not a lengthy visitor,,,Eve,2023-07-16 00:01:19
380,If you want to make an omelette you have to break some eggs.,,,,2023-07-16 00:01:20
381,Give ‘em enough rope to hang himself with,,,,2023-07-16 00:01:21
382,Kick them while they’re down,,,Miles,2023-07-16 00:01:22
432,Paint yourself into a corner,Paint (oneself) into a corner,To create a predicament or unpleasant situation for oneself whereby there are no or very few favorable solutions or outcomes. ,,2023-07-17 00:00:17
383,Tying the knot,Tie the knot,"To get married. An allusion to the handfasting ceremony, an ancient tradition of binding the hands of the bride and groom with lengths of cloth, cord, rope, etc., as a symbol of their lasting union. ",Miles,2023-07-16 00:01:23
384,Tie up loose ends,Tie up (some/a few) loose ends,"To take care of, finish, or resolve some issues or pieces of business that are not critical but have remained outstanding. ",Miles,2023-07-16 00:01:24
385,If it ain’t broke don’t fix it,"If it ain''t broke, don''t fix it","If something is performing or functioning well enough, there''s no need to change or interfere with it (as you may introduce new problems as a result.) ",Mike,2023-07-16 00:01:25
386,My ears are burning,(one's) ears are burning,"One intuits that people were talking about them, despite not witnessing it. ",Mike,2023-07-16 00:01:26
387,The ball is in your court,The ball is in (one's) court,"One has the responsibility for further action, especially after someone else previously held responsibility. The phrase originated in tennis. ",Mike,2023-07-16 00:01:27
389,As right as rain,(as) right as rain,In good health or order; feeling or working just as someone or something should. ,,2023-07-16 00:01:29
390,The bark is worse than the bite,,,,2023-07-16 00:01:30
391,Path of least resistance,The path of least resistance,"The thing, option, or course of action that is easiest to do; that which avoids confrontation, difficulty, awkwardness, or tension. ",,2023-07-16 00:01:31
392,Keeping me on my toes,Keep (one) on (one's) toes,"To force someone to stay active, alert, and focused on something or someone. ",,2023-07-16 00:01:32
393,Go touch grass,,,,2023-07-16 00:01:33
394,In a pickle,In a pickle,"In a troublesome or difficult situation. The adjectives '"pretty'" and '"right'" are commonly used before '"pickle.'" ",,2023-07-16 00:01:34
395,Caught with your hand in the cookie jar,Caught with (one's) hand in the cookie jar,"To have been caught in the act or attempt of some wrongdoing, especially one involving bribery or the illicit exploitation of one''s position of power or authority. ",,2023-07-16 00:01:35
396,Trim the fat,Trim the fat,To excise or discard elements that are seen as superfluous or unnecessary. ,,2023-07-16 00:01:36
397,Taking candy from a baby,,,,2023-07-16 00:01:37
398,To flesh out,,,,2023-07-16 00:01:38
399,Get ahead of the game,Get ahead of the game,To become prepared for or begin work on something ahead of schedule. ,,2023-07-16 00:01:39
400,In the trenches,(down) in the trenches,"The place, situation, or environment in which the most difficult or demanding work takes place. ",,2023-07-16 00:01:40
401,Cross that bridge when we come to it,Cross that bridge when (one) comes to it,To address something only when it actually happens or becomes an issue. ,,2023-07-16 00:01:41
402,Take at at face value,,,,2023-07-16 00:01:42
403,Toe the line,Toe the line,"To adhere to the rules of something. (Often misspelled as '"tow the line.'") ",,2023-07-16 00:01:43
404,Draw a line in the sand,Draw a line in the sand,To establish a figurative boundary that someone or some group refuses to cross or beyond which no further advance or compromise is accepted. ,,2023-07-16 00:01:44
405,On framing time,,,,2023-07-16 00:01:45
406,Hold my beer,Hold my beer,A phrase indicating that one is about to do something stupid or dangerous. The image is that of a person at a party who asks a friend to hold their beer so that they can attempt some kind of ill-advised stunt. It is often used humorously to describe how something bad was followed by something even worse. ,,2023-07-16 00:01:46
407,Don’t feed them after midnight,,,,2023-07-16 00:01:47
408,Short end of the stick,The short end of the stick,An unequal outcome of a deal that results in a disadvantage or burden. ,,2023-07-16 00:01:48
409,Beating a dead horse,Beat a dead horse,To continue to focus on an issue or topic that is no longer of any importance or relevance. ,,2023-07-16 00:01:49
410,Slippery fish,,,,2023-07-16 00:01:50
411,Snake in the grass,Snake in the grass,One who feigns friendship with the intent to deceive. ,,2023-07-16 00:01:51
412,Sit back and rest on your laurels,,,Eve,2023-07-16 00:01:52
413,Barefoot and pregnant,Negative connotations,A common assumption is that the expression relates to ,Eve,2023-07-16 00:01:53
414,Rule of thumb,Rule of thumb,An approximation; a suggested method or guideline. ,,2023-07-16 00:01:54
415,Ring a bell,Ring a bell,"To seem familiar, remind one of something, or stimulate an incomplete or indistinct memory. ",,2023-07-16 00:01:55
669,Jump the gun,Jump the gun,"To start something before it is permissible, appropriate, or advisable. The phrase alludes to starting to run in a foot race before the starting gun goes off. ",,2023-08-08 00:00:11
670,Show you the ropes,Show (one) the ropes,"To explain or demonstrate to one how to do or perform a job, task, or activity. ",,2023-08-08 00:00:12
671,Getting something under your belt,Get (something) under (one's) belt,To get something to eat or drink. ,,2023-08-08 00:00:13
672,Shit a brick,Shit a brick,"To be very scared or nervous. The plural ('"shit bricks'") is also commonly used.",,2023-08-08 00:00:14
673,Balls to the wall,Balls to the wall,"With maximum effort, energy, or speed, and without caution or restraint. The phrase most likely originated as an aviation term, referring to the throttle levers of military aircraft (which have a rounded ball on top) being pushed to their maximum limit (i.e., to the bulkhead, or '"wall'"). While it does not in fact refer to testicles, it should be used with caution because of this popular association. ",,2023-08-09 00:00:01
388,Once in a blue moon,Once in a blue moon,Very rarely. ,Mike,2023-07-16 00:01:28
534,Bone to pick,A bone to pick,An issue to discuss—typically one that is a source of annoyance for the speaker. ,Miles,2023-07-19 00:00:54
421,Strike while the iron is hot,Strike while the iron is hot,To make most of an opportunity or favorable conditions while one has the chance to do so. ,,2023-07-17 00:00:06
422,Set in stone,Set in stone,Permanent. Typically refers to a plan or idea. ,,2023-07-17 00:00:07
423,The clay is dry,,,,2023-07-17 00:00:08
424,Trail of bread crumbs,,,,2023-07-17 00:00:09
425,Hanging on by a thread,Hang on by a thread,"To be perilously close to failing, dying, or resulting in a bad outcome. ",,2023-07-17 00:00:10
426,Green thumb,Green thumb,"A proclivity for successfully growing plant life. (Often used with '"have.'") ",,2023-07-17 00:00:11
427,Splitting hairs,Split hairs,"To make or focus on trivial or petty details, differences, or distinctions. ",,2023-07-17 00:00:12
428,Beast of burden,Beast of burden,A domesticated animal used by humans to carry or pull heavy loads. ,,2023-07-17 00:00:13
429,Hang me out to dry,Hang (one) out to dry,To desert one in a troubling situation. ,,2023-07-17 00:00:14
430,With out a pot to piss in or a window to throw it out of,,,,2023-07-17 00:00:15
431,Without a leg to stand in,,,,2023-07-17 00:00:16
596,Bury the hatchet,Bury the hatchet,To make peace with someone. ,,2023-07-23 00:00:16
433,Shooting from the hip,Shoot from the hip,"To speak or act rashly, recklessly, or bluntly, without consideration of potential consequences. An allusion to firing a handgun immediately upon drawing it from its holster without taking time to aim. ",,2023-07-17 00:00:18
434,Outside of my wheelhouse,Out(side) (of) (someone's) wheelhouse,"Against, outside of, or not matching someone''s general interests, abilities, or area of familiarity; outside of someone''s comfort zone. ",,2023-07-17 00:00:19
435,Above my pay grade,Above (one's) pay grade,"The responsibility of those who are of a higher authority than oneself, denoted by the level of pay that one receives in comparison to one''s superiors. ",,2023-07-17 00:00:20
436,Caught in the crosshairs,,,,2023-07-17 00:00:21
437,Target on you back,,,,2023-07-17 00:00:22
438,Price on your head,,,,2023-07-17 00:00:23
439,Death by 1000 cuts,,,Miles,2023-07-17 00:00:24
440,Can’t trust them as far as you can throw them,,,,2023-07-17 00:00:25
441,Throw caution to the wind,Throw caution to the wind(s),To abandon one's cautiousness in order to take a risk. ,,2023-07-17 00:00:26
442,Hold your horses,Hold your horses,Wait a moment or be patient (often because you are moving too quickly or thoughtlessly). ,,2023-07-17 00:00:27
443,Bring a knife to a gunfight,Bring a knife to a gunfight,"To come poorly prepared or equipped for some task, goal, competition, or confrontation. Often used in the negative as a forewarning or piece of advice. ",,2023-07-17 00:00:28
444,Mexican standoff,Mexican standoff,"An impasse, deadlock, or stalemate from which no party involved will or can emerge victorious. Also written '"stand-off.'" (Note: This phrase may be considered offensive to Mexicans or those of Mexican heritage.) Primarily heard in US. ",,2023-07-17 00:00:29
445,Play your cards right,Play (one's) cards right,To act adeptly and with good judgment; to make the best and most effective use of the resources at one's disposal. ,,2023-07-17 00:00:30
446,Play your cards close to the chest,,,,2023-07-17 00:00:31
447,Ace up your sleeve,Ace up (one's) sleeve,"A secret plan, idea, or advantage that can be utilized if and when it is required. A reference to cheating at a card game by hiding a favorable card up one''s sleeve. ",,2023-07-17 00:00:32
449,Hold your hand,Hold (one's) hand,"Literally, to grasp one''s hand and continue holding it, typically while walking together or sitting next to each other, often as a show of affection. ",,2023-07-17 00:00:34
450,The 11th hour,The eleventh hour,The last possible moment or opportunity. Can be hyphenated if used as a modifier before a noun. ,,2023-07-17 00:00:35
451,A real class act,,,,2023-07-17 00:00:36
452,For the birds,For the birds,"Worthless, stupid, or completely undesirable. ",,2023-07-17 00:00:37
453,Make ends meet,Make (both) ends meet,To earn just enough money to cover one's living expenses. ,,2023-07-17 00:00:38
454,Wear your heart on your sleeve,Wear (one's) heart on (one's) sleeve,To openly display or make known one's emotions or sentiments. ,,2023-07-17 00:00:39
455,Got it in the bag,,,,2023-07-17 00:00:40
456,Idle hands are the devils playground,,,,2023-07-17 00:00:41
457,Secure the bag,,,,2023-07-17 00:00:42
458,Slow your roll,Slow (one's) roll,To calm oneself down. Primarily heard in US. ,,2023-07-17 00:00:43
459,Off the beaten path,Off the beaten path,"Little-known, or in a remote or lesser-known area. Said especially of a business or destination. A '"beaten path'" refers to a route that is frequently traveled. ",,2023-07-17 00:00:44
460,Read em and weep,Read 'em and weep,"Look at these results, which clearly show that I am the winner and you are the loser. A clichéd expression that is especially commonly used during card games. ",,2023-07-17 00:00:45
461,My hands are tied,(one's) hands are tied,"One is being prevented from acting, helping, or intervening as one should or desires to because of circumstances beyond one''s control, such as rules, conflicting orders, or higher priorities. ",,2023-07-17 00:00:46
462,With one had tied behind my back,,,,2023-07-17 00:00:47
463,Knock your dick in the dirt,,,Miles,2023-07-17 00:00:48
464,Moving the goalpost,Move the goalposts,"To alter the rules or parameters of a situation in such a way as to suit one''s needs or objectives, making it more difficult for someone else to succeed, keep pace, or achieve an opposing objective. ",,2023-07-17 00:00:49
465,Pulling the rug from under you,Pull the rug (out) from under (someone),"To suddenly or unexpectedly remove or rescind support, help, or assistance from someone; to abruptly leave someone in a problematic or difficult situation. ",,2023-07-17 00:00:50
466,All roads lead to rome,All roads lead to rome,"The same outcome can be reached by many methods or ideas. This phrase refers to the road system of the Roman Empire, in which Rome was positioned in the center, with every road attached to it. ",,2023-07-17 00:00:51
467,Walk in the park,A walk in the park,A task or activity that is easy or effortless to accomplish. ,,2023-07-17 00:00:52
468,Too many irons in the fire,Too many irons in the fire,An excessive number of simultaneous activities or potential undertakings or opportunities underway. ,Mike,2023-07-16 01:00:00
469,Two tacos short of a combination plate,,,,2023-07-17 00:00:53
674,Deep dive,Deep dive,"A thorough analysis, perhaps one that seems excessive or unwarranted for a particular topic. ",,2023-08-09 00:00:02
219,Stabbed in the back,Stabbed in the back,Having had one's confidence or trust betrayed. ,,2023-07-14 01:32:00
448,Coming in hot,,,,2023-07-17 00:00:33
471,Burying your head in the sand,Bury (one's) head in the sand,"To avoid, or try to avoid, a particular situation by pretending that it does not exist. The phrase refers to the common but mistaken belief that ostriches bury their heads in the sand when frightened, so as to avoid being seen. ",,2023-07-18 00:00:01
472,Burn a hole in your pocket,Burn a hole in (one's) pocket,"To be in one''s possession and causing one an intense urge to make use of it. Typically used in reference to money, suggesting that the person with the money feels the need to spend it quickly. ",,2023-07-18 00:00:02
474,If you fall of your horse you gotta get back on,,,,2023-07-18 00:00:04
475,If you want to make god laugh make a plan,,,,2023-07-18 00:00:05
476,Gun shy,Gun-shy,Frightened of using a gun or by the sound of one firing. ,,2023-07-18 00:00:06
477,Trigger happy,Trigger-happy,"Eager to use a weapon, i.e. to pull the trigger (of a gun). ",,2023-07-18 00:00:07
478,You can’t take it with you,(you) can't take it with you (when you go),A warning against materialism that alludes to the fact that you can't keep your money or possessions when you die. ,,2023-07-18 00:00:08
479,Doesn’t pack a punch,,,,2023-07-18 00:00:09
480,A drop in the bucket,Drop in the bucket,"A tiny amount, especially when compared to a much larger one. ",,2023-07-18 00:00:10
547,Don’t shoot the messenger,Don't shoot the messenger,Don't get angry at or punish someone who is simply delivering bad or undesirable news as they are not responsible for it. ,,2023-07-20 00:00:11
846,Ride on someone’s coattails,,,Miles,2023-08-26 00:00:04
492,Lose the battle but win the war,"Lose the battle, but win the war","To suffer a minor defeat or failure, but achieve a larger, more important, or overarching success or victory over time. The phrase is often split into two halves across different parts of a sentence to achieve its meaning. ",Eve,2023-07-19 00:00:12
493,Uncharted waters,Uncharted waters,"A situation or circumstance that is foreign, unclear, or unfamiliar and which may be dangerous or difficult as a result. ",Miles,2023-07-19 00:00:13
495,Never look into another bowl except to see if they have enough,,,Eve,2023-07-19 00:00:15
496,A rose by any other name would smell as sweet,A rose by any other name (would smell as sweet),What someone or something is called does not change their innate characteristics or attributes. The shorter version of the phrase is often used when describing undesirable people or things. The full line is from Shakespeare's ,Eve,2023-07-19 00:00:16
497,He who laughs last laughs best,Have the last laugh,To ultimately achieve success after encountering adversity or doubt from others. ,Eve,2023-07-19 00:00:17
498,Kiss the ring,Kiss the ring,"To make a gesture of deference, fealty, or genuflection to a person of power or authority. ",Eve,2023-07-19 00:00:18
499,A prison of our own device,,,Eve,2023-07-19 00:00:19
500,What goes around comes around,What goes around comes around,"One''s actions or behavior will eventually have consequences for one, even if indirectly. The phrase typically refers to one being a victim of the same negative circumstances that they have inflicted on others. ",Eve,2023-07-19 00:00:20
501,If your going to get we you might as well go swimming,,,Eve,2023-07-19 00:00:21
502,Don’t cry over spilt milk,,,,2023-07-19 00:00:22
503,Put someone on a pedestal,Put (someone or something) (up) on a pedestal,"To believe or behave as if someone or something is perfect, wonderful, or better than others, to the extent that one is unable to see its potential flaws or faults. ",Miles,2023-07-19 00:00:23
504,The view from your ivory tower,,,Eve,2023-07-19 00:00:24
505,On your high horse,On (one's) high horse,Having an attitude of condescending moral superiority. ,Eve,2023-07-19 00:00:25
506,Turn a blind eye,Turn a blind eye (to something),To knowingly ignore some wrongdoing. ,Miles,2023-07-19 00:00:26
507,Cat got your tongue,(has the) cat got your tongue?,A humorous question directed at one who is not speaking very much or at all. ,Miles,2023-07-19 00:00:27
508,Hard nut to crack,A hard nut (to crack),"A person, thing, situation, or problem that is particularly difficult to understand, solve, or deal with. ",Miles,2023-07-19 00:00:28
509,Up shit creek without a paddle,Up shit creek (without a paddle),"In a challenging or troublesome situation, especially one that cannot be easily resolved. ",miles,2023-07-19 00:00:29
510,Even the Mona Lisa is falling apart,,,Eve,2023-07-19 00:00:30
511,Diamonds are made under pressure but not over night,,,Eve,2023-07-19 00:00:31
512,"Men are from mars, women are from Venus",,,Eve,2023-07-19 00:00:32
513,Reopen an old wound,,,Miles,2023-07-19 00:00:33
514,Pour salt in the wound and expect it to heal,,,Eve,2023-07-19 00:00:34
515,Swimming with the fishes,Be swimming with the fishes,"To be murdered and have one''s body disposed of in a river, lake, or ocean. (A less common variant of '"be sleeping with the fishes.'") ",Miles,2023-07-19 00:00:35
516,Light at the end of the tunnel,Light at the end of the tunnel,A sign that something difficult or unpleasant is almost at an end. ,Miles,2023-07-19 00:00:36
